emoji,name,cos_sim_cad,cos_sim_prompt
🪹,empty_nest,0.111736,0.183794
🥨,pretzel,0.111561,0.191094
🦆,duck,0.111556,0.191191
⚗️,alembic,0.111544,0.126091
🥣,bowl_with_spoon,0.111423,0.197645
🤲,palms_up_together,0.111347,0.134273
🙂,slightly_smiling_face,0.111319,0.075371
🫒,olive,0.111283,0.098138
🤳,selfie,0.111186,0.116274
🤹🏼,person_juggling_medium-light_skin_tone,0.111100,0.100404
🎒,backpack,0.110963,0.180623
✊🏽,raised_fist_medium_skin_tone,0.110954,0.044055
🧖🏻,person_in_steamy_room_light_skin_tone,0.110938,0.119455
🦳,white_hair,0.110841,0.023525
🦴,bone,0.110814,0.045537
👻,ghost,0.110602,0.169006
🤛🏼,left-facing_fist_medium-light_skin_tone,0.110561,0.177308
🫳,palm_down_hand,0.110420,0.121588
🦻🏽,ear_with_hearing_aid_medium_skin_tone,0.110260,-0.004214
👊🏻,oncoming_fist_light_skin_tone,0.110224,0.082058
🦊,fox,0.110206,0.227858
☺️,smiling_face,0.110206,0.083854
🤽🏼,person_playing_water_polo_medium-light_skin_tone,0.110189,0.196116
🩳,shorts,0.110162,0.050322
🥫,canned_food,0.110143,0.192603
🥪,sandwich,0.110044,0.207006
🎣,fishing_pole,0.109978,0.127893
🚼,baby_symbol,0.109937,0.117767
🚟,suspension_railway,0.109758,0.112206
💁🏽,person_tipping_hand_medium_skin_tone,0.109756,-0.015951
🐁,mouse,0.109556,0.168823
🧽,sponge,0.109172,0.138234
🎭,performing_arts,0.109060,0.079558
🌮,taco,0.108885,0.222919
🛌🏻,person_in_bed_light_skin_tone,0.108718,0.218850
🧕🏽,woman_with_headscarf_medium_skin_tone,0.108716,0.114582
🦛,hippopotamus,0.108708,0.174586
☝🏻,index_pointing_up_light_skin_tone,0.108688,-0.017267
🧳,luggage,0.108637,0.078374
🧃,beverage_box,0.108597,0.075648
🐗,boar,0.108537,0.165011
🐅,tiger,0.108472,0.245093
